trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.4, 'e': 0.004696973237088}",20,7,21.72193439703762,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.4, 'e': 0.0044621245752336}",20,9,23.36207553741217,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.0042390183464719195}",20,9,17.695208189777198,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.4, 'e': 0.004027067429148323}",20,2,32.34235542270534,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.4, 'e': 0.0038257140576909068}",30,19,19.68263872923705,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.4, 'e': 0.0036344283548063613}",20,6,25.23830980502121,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.4, 'e': 0.003452706937066043}",25,10,30.070861494989646,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.4, 'e': 0.003280071590212741}",20,8,23.249652036895963,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.4, 'e': 0.0031160680107021037}",20,6,26.364229851360886,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.4, 'e': 0.0029602646101669983}",25,18,16.230960642904574,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.4, 'e': 0.0028122513796586483}",35,17,35.712949047399675,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.4, 'e': 0.002671638810675716}",30,11,37.25289468819197,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.4, 'e': 0.0025380568701419298}",20,13,14.229631446180731,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.4, 'e': 0.002411154026634833}",25,8,29.858353449043072,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.4, 'e': 0.0022905963253030915}",30,21,17.75845160252372,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.4, 'e': 0.0021760665090379367}",30,24,14.078665790399647,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.0020672631835860398}",30,6,37.293305205290835,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.0019639000244067377}",25,11,24.62214349007789,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.4, 'e': 0.0018657050231864008}",20,7,23.5358165444217,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
